pdb_code,atom_name,lig_name,atom_index,mol_index,lig_chain,dist
1XXE,C1,TUX,66428,4049,C,3.35
1XXE,C2,TUX,66427,4049,C,1.53
1XXE,C3,TUX,66424,4049,C,1.52
1XXE,C4,TUX,110755,6749,C,1.29
1XXE,C5,TUX,22096,1349,C,1.30
1XXE,O5,TUX,57563,3509,C,1.26
2GO4,C1,TUX,4306,536,G,3.90
2GO4,C2,TUX,4305,536,G,1.54
2GO4,C3,TUX,4302,536,G,1.54
2GO4,C4,TUX,4303,536,G,1.53
2GO4,C5,TUX,4304,536,G,1.54
2GO4,O5,TUX,4307,536,G,1.44
6SYR,C1,GCU,6101,397,B,5.50
6SYR,C2,GCU,6102,397,B,1.53
6SYR,C3,GCU,6103,397,B,1.52
6SYR,C4,GCU,6104,397,B,1.53
6SYR,C5,GCU,6105,397,B,1.52
6SYR,O5,GCU,6111,397,B,1.44
6SYU,C1,XYP,6351,402,B,5.30
6SYU,C2,XYP,6352,402,B,1.53
6SYU,C3,XYP,6353,402,B,1.53
6SYU,C4,XYP,6354,402,B,1.53
6SYU,C5,XYP,6355,402,B,1.52
6SYU,O5,XYP,6359,402,B,1.43
6SYV,C1,GCU,6448,415,N,5.55
6SYV,C2,GCU,6449,415,N,1.52
6SYV,C3,BDP,6472,416,O,1.40
6SYV,C4,BDP,6473,416,O,1.52
6SYV,C5,BDP,6474,416,O,1.53
6SYV,O5,BDP,6479,416,O,1.19
6SZ4,C1,BDP,6021,398,B,4.75
6SZ4,C2,BDP,6022,398,B,1.55
6SZ4,C3,BDP,6023,398,B,1.53
6SZ4,C4,BDP,6024,398,B,1.54
6SZ4,C5,BDP,6025,398,B,1.53
6SZ4,O5,BDP,6030,398,B,1.46
6SZO,C1,GTR,5432,356,B,3.15
6SZO,C2,GTR,5433,356,B,1.53
6SZO,C3,GTR,5434,356,B,1.52
6SZO,C4,GTR,5435,356,B,1.53
6SZO,C5,GTR,5436,356,B,1.53
6SZO,O5,GTR,5442,356,B,1.43
6T0E,C1,GCU,12063,788,C,5.60
6T0E,C2,GCU,12064,788,C,1.50
6T0E,C3,GCU,12065,788,C,1.51
6T0E,C4,GCU,12066,788,C,1.51
6T0E,C5,GCU,12067,788,C,1.54
6T0E,O5,GCU,12073,788,C,1.40
6T0I,C1,XYP,6141,397,B,3.65
6T0I,C2,XYP,6142,397,B,1.53
6T0I,C3,XYP,6143,397,B,1.53
6T0I,C4,XYP,6144,397,B,1.52
6T0I,C5,XYP,6145,397,B,1.53
6T0I,O5,XYP,6149,397,B,1.43
7B7H,C1,GCU,2886,370,B,4.80
7B7H,C2,GCU,2887,370,B,1.53
7B7H,C3,GCU,2888,370,B,1.52
7B7H,C4,GCU,2889,370,B,1.53
7B7H,C5,GCU,2890,370,B,1.52
7B7H,O5,GCU,2896,370,B,1.44
6RU1,C1,NaN,NaN,NaN,NaN,NaN
6RU1,C2,NaN,NaN,NaN,NaN,NaN
6RU1,C3,NaN,NaN,NaN,NaN,NaN
6RU1,C4,NaN,NaN,NaN,NaN,NaN
6RU1,C5,NaN,NaN,NaN,NaN,NaN
6RU1,O5,NaN,NaN,NaN,NaN,NaN
6RV7,C1,NaN,NaN,NaN,NaN,NaN
6RV7,C2,NaN,NaN,NaN,NaN,NaN
6RV7,C3,NaN,NaN,NaN,NaN,NaN
6RV7,C4,NaN,NaN,NaN,NaN,NaN
6RV7,C5,NaN,NaN,NaN,NaN,NaN
6RV7,O5,NaN,NaN,NaN,NaN,NaN
6RV8,C1,NaN,NaN,NaN,NaN,NaN
6RV8,C2,NaN,NaN,NaN,NaN,NaN
6RV8,C3,NaN,NaN,NaN,NaN,NaN
6RV8,C4,NaN,NaN,NaN,NaN,NaN
6RV8,C5,NaN,NaN,NaN,NaN,NaN
6RV8,O5,NaN,NaN,NaN,NaN,NaN
6RV9,C1,NaN,NaN,NaN,NaN,NaN
6RV9,C2,NaN,NaN,NaN,NaN,NaN
6RV9,C3,NaN,NaN,NaN,NaN,NaN
6RV9,C4,NaN,NaN,NaN,NaN,NaN
6RV9,C5,NaN,NaN,NaN,NaN,NaN
6RV9,O5,NaN,NaN,NaN,NaN,NaN
4G4J,C1,MCU,2743,369,B,6.40
4G4J,C2,MCU,2741,369,B,1.52
4G4J,C3,MCU,2739,369,B,1.53
4G4J,C4,MCU,2738,369,B,1.54
4G4J,C5,MCU,2746,369,B,1.56
4G4J,O5,MCU,2745,369,B,1.45
1F0P,C1,GLC,2165,284,B,3.95
1F0P,C2,GLC,2166,284,B,1.54
1F0P,C3,GLC,2167,284,B,1.55
1F0P,C4,GLC,2168,284,B,1.53
1F0P,C5,GLC,2169,284,B,1.53
1F0P,O5,GLC,2175,284,B,1.44
1VA5,C1,SOG,4406,566,C,4.05
1VA5,C2,SOG,4407,566,C,1.57
1VA5,C3,SOG,4408,566,C,1.55
1VA5,C4,SOG,4409,566,C,1.57
1VA5,C5,SOG,4410,566,C,1.58
1VA5,O5,SOG,4424,566,C,1.49
4QEK,C1,NaN,NaN,NaN,NaN,NaN
4QEK,C2,NaN,NaN,NaN,NaN,NaN
4QEK,C3,NaN,NaN,NaN,NaN,NaN
4QEK,C4,NaN,NaN,NaN,NaN,NaN
4QEK,C5,NaN,NaN,NaN,NaN,NaN
4QEK,O5,NaN,NaN,NaN,NaN,NaN
2WAB,C1,BGC,2612,327,B,4.40
2WAB,C2,BGC,2607,327,B,1.51
2WAB,C3,BGC,2608,327,B,1.50
2WAB,C4,BGC,2609,327,B,1.54
2WAB,C5,BGC,2610,327,B,1.56
2WAB,O5,BGC,2616,327,B,1.42
2WAO,C1,BGC,2608,325,B,4.25
2WAO,C2,BGC,2603,325,B,1.53
2WAO,C3,BGC,2604,325,B,1.53
2WAO,C4,BGC,2605,325,B,1.54
2WAO,C5,BGC,2606,325,B,1.55
2WAO,O5,BGC,2612,325,B,1.42
4NZ1,C1,NAG,6325,808,C,4.75
4NZ1,C2,NAG,6326,808,C,1.57
4NZ1,C3,NAG,6327,808,C,1.54
4NZ1,C4,NAG,6328,808,C,1.53
4NZ1,C5,NAG,6329,808,C,1.53
4NZ1,O5,NAG,6337,808,C,1.49
4NZ3,C1,NAG,6338,808,C,4.65
4NZ3,C2,NAG,6339,808,C,1.55
4NZ3,C3,NAG,6340,808,C,1.54
4NZ3,C4,NAG,6341,808,C,1.53
4NZ3,C5,NAG,6342,808,C,1.53
4NZ3,O5,NAG,6350,808,C,1.44
4NZ4,C1,NDG,6302,811,F,5.45
4NZ4,C2,NDG,6303,811,F,1.55
4NZ4,C3,NDG,6304,811,F,1.52
4NZ4,C4,NDG,6305,811,F,1.53
4NZ4,C5,NDG,6306,811,F,1.54
4NZ4,O5,NDG,6310,811,F,1.43
4OUI,C1,NAG,6361,808,C,4.45
